gid,sub_code,namt,name,location_t,location_e,version,sourcethm,icon_url
"96","47020",โรงเรียนเทคโนโลยีและพานิชยการนครพิงค์,TECHNOLOGY AND PHANITCHAKAN NAKHON PHING COLLEGE,ถนนโชตนา,CHOTANA RD.,"1",Schools_landmark,./0.png
"97","47040",โรงเรียนเชียงใหม่เวชรักษ์,CHIANG MAI WETCHARAK SCHOOL,ถนนโชตนา,CHOTANA RD.,"1",Schools_landmark,./0.png
"98","47010",โรงเรียนบ้านสันต้นม่วงเหนือ,BAN SAN TON MUANG NUEA SCHOOL,ถนนโยธาธิการ ชม. 2008 (บ้านต้นเปา-บ้านน้ำแพร่),YOTHATHIKAN CHIANG MAI 2008 RD. (BAN TON PAO-BAN NAM PHRAE),"1",Schools_landmark,./0.png
"99","47010",โรงเรียนบ้านป่าขุย,BAN PA KHUI SCHOOL,ถนนปัญญาศิริราษฎร์สามัคคี,PANYA SIRI RAT SAMAKKHI RD.,"1",Schools_landmark,./0.png
"100","47010",โรงเรียนวัดขะจาว,WAT KHACHAO SCHOOL,ถนนป่าตัน,PA TON RD.,"1",Schools_landmark,./0.png
"101","47020",โรงเรียนโปลีเทคนิคล้านนา,LANNA POLYTECHNIC SCHOOL,ถนนสุขเกษม,SUKKASEAM RD.,"1",Schools_landmark,./0.png
"102","47010",โรงเรียนวัดข่วงสิงห์,WAT KHUANG SING SCHOOL,ถนนโชตนา,CHOTANA RD.,"1",Schools_landmark,./0.png
"103","47020",โรงเรียนพาณิชยการล้านนาเชียงใหม่,LANNA CHIANG MAI COMMERCIAL COLLEGE,ถนนโพธาราม,PHOTHARAM RD.,"1",Schools_landmark,./0.png
"104","47010",โรงเรียนวัดป่าตัน,WAT PA TAN SCHOOL,ถนนซุปเปอร์ไฮเวย์,SUPER HIGHWAY RD.,"1",Schools_landmark,./0.png
"105","47010",โรงเรียนวัดเจ็ดยอด,WAT CHET YOT SCHOOL,ถนนเจ็ดยอด,CHET YOT RD.,"1",Schools_landmark,./0.png
"106","47010",โรงเรียนวัดท่ารั้ว,WAT THA RUA SCHOOL,,,"1",Schools_landmark,./0.png
"107","47010",โรงเรียนบ้านป่าเศร้า,BAN PA SAO SCHOOL,ถนนโยธาธิการ ชม. (สายป่าเหมือด-ยางทอง),YOTHATHIKAN CHIANG MAI RD. (SAI PA MUEAT-YANG THONG),"1",Schools_landmark,./0.png
"108","47010",โรงเรียนวัดช่างเคี่ยน,WAT CHANG KHIAN SCHOOL,ทางหลวงแผ่นดินหมายเลข 121,HIGHWAY 121,"1",Schools_landmark,./0.png
"109","47010",โรงเรียนสหวิทยาเขตอนุบาลเชียงใหม่,SAHA WITTHAYA KHET CHIANG MAI KINDERGARTEN,ทางหลวงแผ่นดินหมายเลข 121,HIGHWAY 121,"1",Schools_landmark,./0.png
"110","47010",โรงเรียนสาธิตสถาบันราชภัฏเชียงใหม่,RAJABHAT CHIANG MAI DEMONSTRATION SCHOOL,ถนนหมื่นด้ามพร้าคต,MUANDAM PLAKOT RD.,"1",Schools_landmark,./0.png
"111","47010",โรงเรียนสันพระเนตร,SAN PHRA NET SCHOOL,ถนนสันพระเนตร 1,SUN PLANATE 1 RD.,"1",Schools_landmark,./0.png
"112","47010",โรงเรียนบ้านแม่คาว,BAN MAE KHAO SCHOOL,,,"1",Schools_landmark,./0.png
"113","47010",โรงเรียนโสตศึกษาอนุสารสุนทร,ANUSARNSUNTHORN SCHOOL FOR THE DEAF,ถนนโสตศึกษา,SOTSUKSA RD.,"1",Schools_landmark,./0.png
"114","47010",โรงเรียนสันติธรรม,SANTI THAM SCHOOL,ถนนมรกต,MORAKOT RD.,"1",Schools_landmark,./0.png
"115","47010",โรงเรียนวัดป่าเหมือด,WAT PA MUEAT SCHOOL,ถนนโยธาธิการ ชม. 2008 (บ้านต้นเปา-บ้านน้ำแพร่),YOTHATHIKAN CHIANG MAI 2008 RD. (BAN TON PAO-BAN NAM PHRAE),"1",Schools_landmark,./0.png
"116","47010",โรงเรียนเทศบาลวัดป่าแพ่ง,WAT PA PHAENG THETSABAN SCHOOL,ถนนรัตนโกสินทร์,RATTANAKOSIN RD.,"1",Schools_landmark,./0.png
"117","47010",โรงเรียนเทพบดินทร์วิทยา,THEP BODIN WITTHAYA SCHOOL,ถนนสนามกีฬา,SANAMKILA RD.,"1",Schools_landmark,./0.png
"118","47010",โรงเรียนเทศบาลวัดกู่คำ,WAT KU KHAM THETSABAN SCHOOL,ถนนเชียงใหม่-ลำปาง,CHIANG MAI-LAMPANG RD.,"1",Schools_landmark,./0.png
